2023-03-22 00:59:50.137 [main] INFO  org.example.Calculator-[FACTORIAL]7
2023-03-22 00:59:50.138 [main] INFO  org.example.Calculator-[RESULT-FACTORIAL]5040
2023-03-22 01:00:07.729 [main] INFO  org.example.Calculator-[DIVIDE]15.0/45.0
2023-03-22 01:00:07.730 [main] INFO  org.example.Calculator-[RESULT-DIVIDE]0.3333333333333333
2023-03-22 01:00:18.640 [main] INFO  org.example.Calculator-[SQ_ROOT]45.0
2023-03-22 01:00:18.641 [main] INFO  org.example.Calculator-[RESULT-SQ ROOT]6.708203932499369
2023-03-22 01:00:28.914 [main] INFO  org.example.Calculator-[POWER]455.0^8.0
2023-03-22 01:00:28.914 [main] INFO  org.example.Calculator-[RESULT-POWER]1.836923935996688E21
2023-03-22 01:00:35.725 [main] INFO  org.example.Calculator-[NATURAL_LOG]125.0
2023-03-22 01:00:35.726 [main] INFO  org.example.Calculator-[RESULT-NATURAL_LOG]4.8283137373023015
2023-03-22 15:19:32.850 [main] INFO  org.example.Calculator-[SQ_ROOT]3.0
2023-03-22 15:19:32.853 [main] INFO  org.example.Calculator-[RESULT-SQ ROOT]1.7320508075688772
2023-03-22 15:19:32.854 [main] INFO  org.example.Calculator-[SQ_ROOT]4.0
2023-03-22 15:19:32.854 [main] INFO  org.example.Calculator-[RESULT-SQ ROOT]2.0
2023-03-22 15:19:32.867 [main] INFO  org.example.Calculator-[MULTIPLY]15.0 * 5.0
2023-03-22 15:19:32.868 [main] INFO  org.example.Calculator-[RESULT-MULTIPLY]75.0
2023-03-22 15:19:32.869 [main] INFO  org.example.Calculator-[MULTIPLY]20.0 * -10.0
2023-03-22 15:19:32.870 [main] INFO  org.example.Calculator-[RESULT-MULTIPLY]-200.0
2023-03-22 15:19:32.872 [main] INFO  org.example.Calculator-[DIVIDE]15.0/0.0
2023-03-22 15:19:32.873 [main] INFO  org.example.Calculator-[RESULT-DIVIDE]Infinity
2023-03-22 15:19:32.875 [main] INFO  org.example.Calculator-[SUBTRACT]15.0-5.0
2023-03-22 15:19:32.876 [main] INFO  org.example.Calculator-[RESULT-SUBTRACT]10.0
2023-03-22 15:19:32.876 [main] INFO  org.example.Calculator-[SUBTRACT]20.0--10.0
2023-03-22 15:19:32.877 [main] INFO  org.example.Calculator-[RESULT-SUBTRACT]30.0
2023-03-22 15:19:32.878 [main] INFO  org.example.Calculator-[SUM]15.0+5.0
2023-03-22 15:19:32.880 [main] INFO  org.example.Calculator-[RESULT-SUM]20.0
2023-03-22 15:19:32.881 [main] INFO  org.example.Calculator-[SUM]20.0+-10.0
2023-03-22 15:19:32.882 [main] INFO  org.example.Calculator-[RESULT-SUM]10.0
2023-03-22 15:19:32.884 [main] INFO  org.example.Calculator-[NATURAL_LOG]1.0
2023-03-22 15:19:32.885 [main] INFO  org.example.Calculator-[RESULT-NATURAL_LOG]0.0
2023-03-22 15:19:32.885 [main] INFO  org.example.Calculator-[NATURAL_LOG]300.0
